WELL,DEPT,GR,RHOB,NPHI,RT,VP,E_STAT,NU_STAT,UCS,IS_CORE,FACIES,VSH_TRUE,PHI_TRUE,PP_MPA,SV_MPA,SIG_EFF_MPA,E_DYN,NU_DYN,IS_HC
AGB-03,1000.0,29.74,2.1652,0.2813,1.011,2893.6,9.5908,0.1916,3.6,0,0,0.0704,0.2912,10.112,24.303,14.191,15.815,0.2227,0
AGB-03,1001.0,20.02,2.1972,0.2585,0.986,3049.4,10.4983,0.1796,3.72,0,0,0.0228,0.2851,10.122,24.328,14.206,17.9882,0.2164,0
AGB-03,1002.0,31.33,2.109,0.3185,0.541,2739.3,8.5219,0.2005,2.8,0,0,0.0661,0.3203,10.132,24.352,14.22,13.514,0.2362,0
AGB-03,1003.0,30.89,2.1951,0.2806,0.676,2984.7,10.2937,0.191,3.88,0,0,0.0383,0.2832,10.143,24.376,14.234,17.478,0.2054,0
AGB-03,1004.0,38.48,2.1637,0.296,0.518,3003.5,9.0481,0.2904,3.42,0,0,0.1211,0.2983,10.153,24.401,14.248,14.6182,0.2971,0
AGB-03,1005.0,28.6,2.1365,0.2869,0.599,2874.3,9.2456,0.1981,2.88,0,0,0.0495,0.309,10.163,24.425,14.262,15.0472,0.2372,0
AGB-03,1006.0,30.85,2.1793,0.285,0.843,2876.3,9.6971,0.1908,3.65,0,0,0.0569,0.2925,10.173,24.449,14.276,16.0613,0.2079,0
AGB-03,1007.0,28.74,2.1025,0.3281,0.376,2709.6,8.3088,0.2251,2.09,0,0,0.0497,0.3328,10.183,24.474,14.291,13.0849,0.2405,0
AGB-03,1008.0,28.05,2.1177,0.3003,0.528,2816.5,8.301,0.2448,2.5,0,0,0.1024,0.32,10.193,24.498,14.305,13.0701,0.2823,0
AGB-03,1009.0,39.2,2.1216,0.3329,0.493,2671.1,7.5443,0.2709,2.28,0,0,0.14,0.3275,10.203,24.522,14.319,11.597,0.2885,0
AGB-03,1010.0,36.22,2.1622,0.3258,0.596,2707.3,8.3327,0.2298,2.42,0,0,0.0894,0.3238,10.213,24.547,14.333,13.1361,0.2528,0
AGB-03,1011.0,23.84,2.1584,0.3039,0.895,2801.1,9.148,0.198,3.17,0,0,0.0654,0.305,10.223,24.571,14.347,14.8414,0.2197,0
AGB-03,1012.0,33.88,2.12,0.2956,0.832,2687.0,8.2737,0.1907,3.02,0,0,0.0916,0.319,10.234,24.595,14.362,13.02,0.2385,0
AGB-03,1013.0,27.65,2.1494,0.3029,0.836,3060.2,9.9599,0.2254,3.16,0,0,0.0326,0.299,10.244,24.619,14.376,16.6856,0.2528,0
AGB-03,1014.0,29.8,2.134,0.2761,0.338,2943.5,9.6637,0.2141,3.46,0,0,0.02,0.307,10.254,24.644,14.39,15.9969,0.2281,0
AGB-03,1015.0,35.6,2.1168,0.3348,0.48,2530.6,6.7811,0.2835,2.27,0,0,0.1593,0.3416,10.264,24.668,14.404,10.1985,0.2954,0
AGB-03,1016.0,31.25,2.1388,0.334,0.389,2731.3,8.2043,0.2471,2.83,0,0,0.1164,0.317,10.274,24.692,14.418,12.8873,0.2657,0
AGB-03,1017.0,38.88,2.0977,0.3516,0.451,2255.4,5.8676,0.2407,2.07,0,0,0.1993,0.3472,10.284,24.717,14.433,8.6102,0.2662,0
AGB-03,1018.0,27.34,2.1071,0.3106,0.459,2668.0,7.9438,0.2269,1.85,1,0,0.0713,0.3374,10.294,24.741,14.447,12.3763,0.2552,0
AGB-03,1019.0,27.94,2.104,0.3047,0.636,2710.1,8.3523,0.2114,2.45,0,0,0.0491,0.3316,10.304,24.765,14.461,13.1901,0.2364,0
AGB-03,1020.0,25.93,2.1683,0.3003,0.869,3004.2,9.9535,0.2182,3.53,0,0,0.0413,0.2952,10.314,24.79,14.475,16.6883,0.237,0
AGB-03,1021.0,32.89,2.1195,0.3292,0.727,2478.6,7.09,0.2289,2.54,0,0,0.1395,0.3358,10.325,24.814,14.489,10.7662,0.2541,0
AGB-03,1022.0,30.57,2.1567,0.3023,0.355,2811.5,8.9207,0.1982,3.82,0,0,0.1011,0.3014,10.335,24.838,14.504,14.3746,0.2435,0
AGB-03,1023.0,36.31,2.1396,0.3133,0.397,2703.3,7.6807,0.2704,2.48,0,0,0.1502,0.322,10.345,24.862,14.518,11.876,0.2918,0
AGB-03,1024.0,32.64,2.1219,0.2867,0.503,2750.7,8.819,0.2074,2.81,0,0,0.0723,0.3079,10.355,24.887,14.532,14.1639,0.215,0
AGB-03,1025.0,29.27,2.1237,0.3337,0.677,2623.4,7.84,0.2144,2.52,0,0,0.1165,0.3236,10.365,24.911,14.546,12.1865,0.2497,0
AGB-03,1026.0,29.05,2.1558,0.2934,0.63,2942.3,9.1208,0.2617,3.16,0,0,0.0913,0.3041,10.375,24.935,14.56,14.8147,0.2736,0
AGB-03,1027.0,33.97,2.1654,0.2987,0.701,2767.3,8.6357,0.2155,3.7,0,0,0.1084,0.3085,10.385,24.96,14.575,13.7867,0.2512,0
AGB-03,1028.0,25.31,2.1576,0.3065,0.884,2854.2,9.3333,0.2045,3.9,0,0,0.0591,0.3032,10.395,24.984,14.589,15.2866,0.2247,0
AGB-03,1029.0,63.54,2.1166,0.3917,0.61,1737.4,2.5713,0.3504,2.0,0,2,0.5196,0.3386,10.405,25.008,14.603,3.5022,0.3756,0
AGB-03,1030.0,68.97,2.0948,0.3752,1.077,1791.1,2.2259,0.3633,1.93,0,2,0.53,0.3486,10.416,25.033,14.617,3.011,0.4052,0
AGB-03,1031.0,76.76,2.0627,0.425,0.458,1494.1,1.3344,0.3821,1.56,0,2,0.622,0.369,10.426,25.057,14.631,1.7741,0.4216,0
AGB-03,1032.0,65.96,2.0577,0.3704,0.461,1937.8,2.7028,0.3629,1.98,0,2,0.4784,0.3486,10.436,25.081,14.645,3.6926,0.3968,0
AGB-03,1033.0,76.6,2.0469,0.4341,0.505,1450.0,1.319,0.3896,1.68,0,2,0.5825,0.3933,10.446,25.106,14.66,1.7535,0.416,0
AGB-03,1034.0,64.1,2.0484,0.4071,0.431,1734.7,2.2533,0.37,1.66,0,2,0.4521,0.3748,10.456,25.13,14.674,3.0511,0.3919,0
AGB-03,1035.0,66.13,2.1003,0.3971,0.473,1562.5,1.9912,0.3515,1.73,0,2,0.5332,0.3556,10.466,25.154,14.688,2.6824,0.3834,0
